state,forest.acres,percentage.of.land.forested,trees.per.capita
Alaska,"127,000,000",35.16%,"43,401"
Texas,"62,400,000",37.33%,538
Montana,"25,500,000",27.45%,"5,965"
Georgia,"24,800,000",67.28%,584
New Mexico,"24,700,000",31.99%,"2,945"
Colorado,"24,400,000",34.42%,"1,059"
Alabama,"22,800,000",70.57%,"1,163"
Washington,"22,000,000",52.74%,722
Idaho,"21,600,000",40.55%,"3,022"
Michigan,"20,000,000",55.62%,501
Mississippi,"19,800,000",65.07%,1663
New York,"18,900,000",62.88%,243
Arkansas,"18,700,000",56.31%,"1,549"
North Carolina,"18,600,000",59.73%,443
Maine,"17,700,000",89.46%,"3,292"
Minnesota,"17,300,000",34.08%,767
Pennsylvania,"16,900,000",58.60%,330
Florida,"16,000,000",50.68%,186
Oregon,"16,000,000",48.51%,948
Wisconsin,"16,000,000",48.98%,687
Virginia,"15,720,000",62.93%,460
Utah,"15,000,000",34.48%,"1,170"
Louisiana,"14,000,000",53.20%,753
Missouri,"14,000,000",35.16%,570
Tennessee,"14,000,000",52.83%,513
South Carolina,"13,000,000",68.19%,631
Kentucky,"12,400,000",49.35%,694
Oklahoma,"12,000,000",28.80%,758
West Virginia,"12,000,000",79.01%,"1,674"
Nevada,"10,600,000",15.89%,860
Wyoming,"10,500,000",18.42%,"4,536"
Ohio,"7,600,000",30.92%,163
Kansas,"5,200,000",4.78%,446
New Hampshire,"4,800,000",84.32%,883
Indiana,"4,500,000",21.06%,167
Vermont,"4,500,000",77.81%,"1,803"
Illinois,"4,400,000",13.64%,87
Arizona,"4,000,000",25.64%,137
Massachusetts,"3,220,000",60.57%,117
California,"3,200,000",32.71%,20
Iowa,"3,000,000",8.43%,238
Maryland,"2,700,000",39.36%,112
South Dakota,"1,940,000",3.93%,548
New Jersey,"1,900,000",41.72%,53
Connecticut,"1,680,000",55.24%,118
Nebraska,"1,570,000",3.20%,203
Hawaii,"1,150,000",42.53%,203
North Dakota,"796,900",1.72%,261
Rhode Island,"366,400",54.38%,86
Delaware,"340,568",27.26%,87
District of Columbia,150,33.90%,0.9
